image_id,color,n_regions,unanimous_regions,three_one_regions,two_two_regions,unanimous_image,disagreement_image
82,暗紅,5,5,0,0,True,False
83,暗紅,5,0,5,0,False,True
84,暗紅,5,3,2,0,False,True
85,暗紅,5,2,3,0,False,True
86,暗紅,5,2,2,1,False,True
87,暗紅,5,3,2,0,False,True
88,暗紅,5,0,0,5,False,True
89,暗紅,5,0,4,1,False,True
9,暗紅,5,3,2,0,False,True
90,暗紅,5,2,3,0,False,True
91,暗紅,5,5,0,0,True,False
92,暗紅,5,0,4,1,False,True
93,暗紅,5,3,2,0,False,True
94,暗紅,5,0,4,1,False,True
95,暗紅,5,5,0,0,True,False
96,暗紅,5,0,4,1,False,True
97,暗紅,5,0,1,4,False,True
98,暗紅,5,0,2,3,False,True
99,暗紅,5,5,0,0,True,False
1,青紫,5,1,3,1,False,True
10,青紫,5,3,2,0,False,True
100,青紫,5,2,0,3,False,True
11,青紫,5,3,2,0,False,True
12,青紫,5,3,2,0,False,True
13,青紫,5,2,0,3,False,True
14,青紫,5,3,2,0,False,True
15,青紫,5,3,2,0,False,True
16,青紫,5,2,3,0,False,True
17,青紫,5,2,1,2,False,True
18,青紫,5,1,2,2,False,True
19,青紫,5,3,1,1,False,True
2,青紫,5,3,2,0,False,True
20,青紫,5,1,3,1,False,True
21,青紫,5,3,1,1,False,True
22,青紫,5,2,2,1,False,True
23,青紫,5,2,1,2,False,True
24,青紫,5,1,2,2,False,True
25,青紫,5,3,2,0,False,True
26,青紫,5,2,1,2,False,True
27,青紫,5,0,4,1,False,True
28,青紫,5,5,0,0,True,False
29,青紫,5,5,0,0,True,False
3,青紫,5,2,3,0,False,True
30,青紫,5,1,2,2,False,True
31,青紫,5,5,0,0,True,False
32,青紫,5,3,1,1,False,True
33,青紫,5,1,3,1,False,True
34,青紫,5,2,0,3,False,True
35,青紫,5,2,1,2,False,True
36,青紫,5,5,0,0,True,False
37,青紫,5,3,2,0,False,True
38,青紫,5,2,3,0,False,True
39,青紫,5,1,3,1,False,True
4,青紫,5,3,2,0,False,True
40,青紫,5,1,4,0,False,True
41,青紫,5,2,1,2,False,True
42,青紫,5,0,2,3,False,True
43,青紫,5,1,3,1,False,True
44,青紫,5,4,0,1,False,True
45,青紫,5,1,4,0,False,True
46,青紫,5,2,2,1,False,True
47,青紫,5,1,4,0,False,True
48,青紫,5,1,0,4,False,True
49,青紫,5,0,4,1,False,True
5,青紫,5,0,3,2,False,True
50,青紫,5,0,4,1,False,True
51,青紫,5,4,1,0,False,True
52,青紫,5,5,0,0,True,False
53,青紫,5,4,1,0,False,True
54,青紫,5,4,1,0,False,True
55,青紫,5,3,0,2,False,True
56,青紫,5,3,1,1,False,True
57,青紫,5,2,2,1,False,True
58,青紫,5,4,0,1,False,True
59,青紫,5,4,1,0,False,True
6,青紫,5,5,0,0,True,False
60,青紫,5,0,3,2,False,True
61,青紫,5,4,0,1,False,True
62,青紫,5,0,2,3,False,True
63,青紫,5,1,1,3,False,True
64,青紫,5,0,1,4,False,True
65,青紫,5,2,3,0,False,True
66,青紫,5,3,2,0,False,True
67,青紫,5,5,0,0,True,False
68,青紫,5,1,4,0,False,True
69,青紫,5,0,4,1,False,True
7,青紫,5,3,2,0,False,True
70,青紫,5,5,0,0,True,False
71,青紫,5,0,4,1,False,True
72,青紫,5,1,3,1,False,True
73,青紫,5,0,3,2,False,True
74,青紫,5,1,2,2,False,True
75,青紫,5,4,0,1,False,True
76,青紫,5,2,1,2,False,True
77,青紫,5,2,0,3,False,True
78,青紫,5,0,4,1,False,True
79,青紫,5,3,0,2,False,True
8,青紫,5,4,1,0,False,True
80,青紫,5,2,3,0,False,True
81,青紫,5,5,0,0,True,False
82,青紫,5,1,1,3,False,True
83,青紫,5,2,1,2,False,True
84,青紫,5,0,5,0,False,True
85,青紫,5,2,2,1,False,True
86,青紫,5,1,3,1,False,True
87,青紫,5,2,0,3,False,True
88,青紫,5,5,0,0,True,False
89,青紫,5,3,0,2,False,True
9,青紫,5,5,0,0,True,False
90,青紫,5,2,1,2,False,True
91,青紫,5,0,4,1,False,True
92,青紫,5,1,2,2,False,True
93,青紫,5,2,3,0,False,True
94,青紫,5,2,3,0,False,True
95,青紫,5,2,3,0,False,True
96,青紫,5,2,3,0,False,True
97,青紫,5,2,2,1,False,True
98,青紫,5,1,2,2,False,True
99,青紫,5,5,0,0,True,False
1,灰黑,5,4,1,0,False,True
10,灰黑,5,5,0,0,True,False
100,灰黑,5,5,0,0,True,False
11,灰黑,5,5,0,0,True,False
12,灰黑,5,5,0,0,True,False
13,灰黑,5,5,0,0,True,False
14,灰黑,5,5,0,0,True,False
15,灰黑,5,5,0,0,True,False
16,灰黑,5,4,1,0,False,True
17,灰黑,5,5,0,0,True,False
18,灰黑,5,5,0,0,True,False
19,灰黑,5,5,0,0,True,False
2,灰黑,5,5,0,0,True,False
20,灰黑,5,5,0,0,True,False
21,灰黑,5,5,0,0,True,False
22,灰黑,5,5,0,0,True,False
23,灰黑,5,5,0,0,True,False
24,灰黑,5,5,0,0,True,False
25,灰黑,5,3,2,0,False,True
26,灰黑,5,4,1,0,False,True
27,灰黑,5,5,0,0,True,False
28,灰黑,5,5,0,0,True,False
29,灰黑,5,5,0,0,True,False
3,灰黑,5,5,0,0,True,False
30,灰黑,5,5,0,0,True,False
31,灰黑,5,5,0,0,True,False
32,灰黑,5,5,0,0,True,False
33,灰黑,5,5,0,0,True,False
34,灰黑,5,5,0,0,True,False
35,灰黑,5,5,0,0,True,False
36,灰黑,5,5,0,0,True,False
37,灰黑,5,5,0,0,True,False
38,灰黑,5,5,0,0,True,False
39,灰黑,5,5,0,0,True,False
4,灰黑,5,5,0,0,True,False
40,灰黑,5,5,0,0,True,False
41,灰黑,5,5,0,0,True,False
42,灰黑,5,5,0,0,True,False
43,灰黑,5,5,0,0,True,False
44,灰黑,5,5,0,0,True,False
45,灰黑,5,5,0,0,True,False
46,灰黑,5,5,0,0,True,False
47,灰黑,5,5,0,0,True,False
48,灰黑,5,5,0,0,True,False
49,灰黑,5,5,0,0,True,False
5,灰黑,5,5,0,0,True,False
50,灰黑,5,5,0,0,True,False
51,灰黑,5,5,0,0,True,False
52,灰黑,5,5,0,0,True,False
53,灰黑,5,5,0,0,True,False
54,灰黑,5,5,0,0,True,False
55,灰黑,5,5,0,0,True,False
56,灰黑,5,5,0,0,True,False
57,灰黑,5,5,0,0,True,False
58,灰黑,5,5,0,0,True,False
59,灰黑,5,5,0,0,True,False
6,灰黑,5,5,0,0,True,False
60,灰黑,5,5,0,0,True,False
61,灰黑,5,5,0,0,True,False
62,灰黑,5,5,0,0,True,False
63,灰黑,5,4,1,0,False,True
64,灰黑,5,5,0,0,True,False
65,灰黑,5,5,0,0,True,False
66,灰黑,5,5,0,0,True,False
67,灰黑,5,5,0,0,True,False
68,灰黑,5,5,0,0,True,False
69,灰黑,5,4,1,0,False,True
7,灰黑,5,5,0,0,True,False
70,灰黑,5,5,0,0,True,False
71,灰黑,5,5,0,0,True,False
72,灰黑,5,5,0,0,True,False
73,灰黑,5,5,0,0,True,False
74,灰黑,5,5,0,0,True,False
75,灰黑,5,5,0,0,True,False
76,灰黑,5,5,0,0,True,False
77,灰黑,5,5,0,0,True,False
78,灰黑,5,5,0,0,True,False
79,灰黑,5,5,0,0,True,False
8,灰黑,5,5,0,0,True,False
80,灰黑,5,5,0,0,True,False
81,灰黑,5,5,0,0,True,False
82,灰黑,5,5,0,0,True,False
83,灰黑,5,5,0,0,True,False
84,灰黑,5,5,0,0,True,False
85,灰黑,5,5,0,0,True,False
86,灰黑,5,5,0,0,True,False
87,灰黑,5,5,0,0,True,False
88,灰黑,5,4,1,0,False,True
89,灰黑,5,5,0,0,True,False
9,灰黑,5,5,0,0,True,False
90,灰黑,5,5,0,0,True,False
91,灰黑,5,3,2,0,False,True
92,灰黑,5,5,0,0,True,False
93,灰黑,5,5,0,0,True,False
94,灰黑,5,5,0,0,True,False
95,灰黑,5,5,0,0,True,False
96,灰黑,5,5,0,0,True,False
97,灰黑,5,5,0,0,True,False
98,灰黑,5,4,1,0,False,True
99,灰黑,5,5,0,0,True,False
