image_id,舌中_暗紅,舌中_淡白,舌中_淡紅,舌中_灰黑,舌中_青紫,舌中_鮮紅,舌右邊_暗紅,舌右邊_淡白,舌右邊_淡紅,舌右邊_灰黑,舌右邊_青紫,舌右邊_鮮紅,舌尖_暗紅,舌尖_淡白,舌尖_淡紅,舌尖_灰黑,舌尖_青紫,舌尖_鮮紅,舌左邊_暗紅,舌左邊_淡白,舌左邊_淡紅,舌左邊_灰黑,舌左邊_青紫,舌左邊_鮮紅,舌根_暗紅,舌根_淡白,舌根_淡紅,舌根_灰黑,舌根_青紫,舌根_鮮紅
32,0,0,-1,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,-1
33,-1,0,-1,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1
34,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,1,-1,0,0,0,0,-1
35,1,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,-1,0,1,-1,-1,0,0,0,-1,1,1,0,0,0,0,-1
36,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0
37,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0
39,-1,0,-1,0,0,-1,-1,0,-1,0,-1,-1,0,0,1,0,0,-1,0,0,1,0,0,-1,-1,0,-1,0,0,-1
4,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1
40,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,-1,-1,0,0,0,0,1,1,0,0,0,0,-1
41,1,0,-1,0,0,0,1,0,1,0,-1,0,1,0,-1,0,0,0,1,0,1,0,-1,0,-1,0,1,0,0,0
42,-1,0,-1,0,-1,-1,-1,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,-1,1,-1,0,-1,0,0,-1
43,0,0,-1,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,-1
44,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,-1
45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
46,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,-1,0,1,0,0,0
47,1,0,-1,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0
48,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,0,0,0,-1,1,1,0,0,0,-1,-1,1,0,0,0,0,-1
49,0,0,-1,0,1,0,0,0,-1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-1,0,-1,0
5,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0
50,1,0,0,0,1,0,1,0,0,0,1,0,-1,0,0,0,-1,-1,1,0,0,0,1,0,1,0,0,0,0,0
51,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1
52,0,0,1,0,0,-1,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,1,0,0,-1,0,0,1,0,0,-1
53,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,-1,0,0,-1
54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0
56,1,0,-1,0,0,0,1,0,-1,0,-1,0,-1,0,-1,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0
57,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-1,0,1,0,-1,0,0,0
58,-1,1,-1,0,0,0,-1,1,-1,0,0,0,-1,-1,-1,0,-1,0,-1,1,-1,0,0,0,1,1,0,0,0,0
59,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1
6,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0
60,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
61,1,0,0,0,-1,-1,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,-1
62,-1,0,0,0,1,-1,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1
63,1,0,0,0,0,-1,1,0,0,0,-1,-1,-1,0,0,0,-1,1,1,0,0,0,-1,-1,-1,0,0,0,0,-1
64,1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0
65,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
66,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1
67,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,-1
68,-1,0,0,0,1,-1,1,0,0,0,1,-1,-1,0,0,0,1,-1,1,0,0,0,1,-1,0,0,0,0,1,-1
69,1,0,0,0,-1,-1,-1,0,0,0,1,-1,1,0,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,0,-1
7,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0
70,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
71,-1,0,0,0,-1,-1,-1,0,0,0,1,-1,-1,0,0,0,1,-1,-1,0,0,0,1,-1,1,0,0,0,0,-1
72,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,0,-1
73,-1,0,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,0,1,-1,-1,0,0,0,-1,0
74,1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,-1,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0
75,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,0,0
76,1,0,0,0,0,-1,1,0,0,0,-1,1,1,0,0,0,-1,-1,1,0,0,0,0,1,1,0,0,0,0,-1
77,-1,0,0,0,-1,-1,1,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,0,0,-1,-1,1,0,0,0,0,-1
78,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,-1
79,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1
8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
80,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1
81,1,0,0,0,0,-1,1,0,0,0,1,-1,1,0,0,0,1,-1,1,0,0,0,1,-1,1,0,0,0,0,-1
82,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,0,1
83,1,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,0,0,1,-1,1,0,0,0,-1,-1,1,0,0,0,0,-1
84,0,0,1,0,1,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
85,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1
86,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0
87,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,0,1
88,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0
89,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,1,-1,0,0,0,0,-1
9,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0
90,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
91,0,-1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-1,0,0,1,0,0,1,0,0,-1,0,0,0,0
92,-1,0,0,0,1,-1,0,0,-1,0,-1,-1,0,0,-1,0,1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1
93,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
94,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,-1
97,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
98,-1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,-1,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0
99,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
